sales,产品名称,cum_product_sales _pct
1269,巴摩,0.13
805,彼岸时光,0.22
788,日盛向岛咖啡,0.30
696,半夏青年,0.38
675,本位,0.45
478,布朗尼厅,0.50
426,爵士岛,0.54
425,舒米勒,0.59
411,芭萝莎,0.63
400,半夏,0.68
238,巴里岛,0.70
218,百蓝,0.75
218,黎埃森,0.75
216,绿林咖啡,0.77
198,黑咖骑士,0.79
185,利莱,0.81
174,欧尚咖啡厅,0.83
162,咖左糖,0.85
161,流年咖啡,0.86
158,城市月光,0.88
153,佳啡猫,0.90
131,假果贝,0.91
124,旧梦,0.92
117,莱茵河咖啡,0.93
116,迪欧,0.95
80,花样时光,0.96
72,梦巴黎,0.96
56,东苏,0.97
53,柠帕,0.97
51,咖啡时光,0.98
44,漫马,0.98
41,鸟巢咖啡,0.99
36,非常,0.99
35,春澜春来,1.00
24,那些年,1.00
9,蜜语,1.00
