sales,产品名称,cum_product_sales _pct
1269,巴摩,13.4
805,彼岸时光,22.0
788,日盛向岛咖啡,30.3
696,半夏青年,37.7
675,本位,44.8
478,布朗尼厅,49.9
426,爵士岛,54.4
425,舒米勒,58.9
411,芭萝莎,63.3
400,半夏,67.5
238,巴里岛,70.0
218,百蓝,74.7
218,黎埃森,74.7
216,绿林咖啡,76.9
198,黑咖骑士,79.0
185,利莱,81.0
174,欧尚咖啡厅,82.8
162,咖左糖,84.6
161,流年咖啡,86.3
158,城市月光,87.9
153,佳啡猫,89.5
131,假果贝,90.9
124,旧梦,92.2
117,莱茵河咖啡,93.5
116,迪欧,94.7
80,花样时光,95.6
72,梦巴黎,96.3
56,东苏,96.9
53,柠帕,97.5
51,咖啡时光,98.0
44,漫马,98.5
41,鸟巢咖啡,98.9
36,非常,99.3
35,春澜春来,99.7
24,那些年,99.9
9,蜜语,100.0
