日期,sales_for_trend,产品分类
2021-03-01 00:00:00,91,冰咖啡 (Iced Coffee) 
2021-03-01 00:00:00,786.25,单原咖啡 (Single Origin Coffee) 
2021-03-01 00:00:00,198,卡布奇诺 (Cappuccino) 
2021-03-01 00:00:00,2138,浓缩咖啡 (Espresso) 
2021-03-01 00:00:00,269.5,混合咖啡 (Blend Coffee) 
2021-03-01 00:00:00,513.5,美式咖啡 (Americano) 
2021-03-01 00:00:00,4847.5,首选咖啡 (Preferential Coffee) 
2021-03-02 00:00:00,225,冰咖啡 (Iced Coffee) 
2021-03-02 00:00:00,698.25,单原咖啡 (Single Origin Coffee) 
2021-03-02 00:00:00,156,卡布奇诺 (Cappuccino) 
2021-03-02 00:00:00,1734.75,浓缩咖啡 (Espresso) 
2021-03-02 00:00:00,242,混合咖啡 (Blend Coffee) 
2021-03-02 00:00:00,508.75,美式咖啡 (Americano) 
2021-03-02 00:00:00,6692.25,首选咖啡 (Preferential Coffee) 
2021-03-03 00:00:00,132,冰咖啡 (Iced Coffee) 
2021-03-03 00:00:00,958,单原咖啡 (Single Origin Coffee) 
2021-03-03 00:00:00,186,卡布奇诺 (Cappuccino) 
2021-03-03 00:00:00,1662.5,浓缩咖啡 (Espresso) 
2021-03-03 00:00:00,88,混合咖啡 (Blend Coffee) 
2021-03-03 00:00:00,913.75,美式咖啡 (Americano) 
2021-03-03 00:00:00,111.30000305175781,超滤咖啡 (Filtered Coffee) 
2021-03-03 00:00:00,3825.25,首选咖啡 (Preferential Coffee) 
2021-03-04 00:00:00,42,冰咖啡 (Iced Coffee) 
2021-03-04 00:00:00,517,单原咖啡 (Single Origin Coffee) 
2021-03-04 00:00:00,252,卡布奇诺 (Cappuccino) 
2021-03-04 00:00:00,321.6000061035156,拿铁咖啡 (Latte) 
2021-03-04 00:00:00,2092.5,浓缩咖啡 (Espresso) 
2021-03-04 00:00:00,126.5,混合咖啡 (Blend Coffee) 
2021-03-04 00:00:00,741.5,美式咖啡 (Americano) 
2021-03-04 00:00:00,6098.25,首选咖啡 (Preferential Coffee) 
2021-03-05 00:00:00,1014.75,单原咖啡 (Single Origin Coffee) 
2021-03-05 00:00:00,306,卡布奇诺 (Cappuccino) 
2021-03-05 00:00:00,45,拿铁咖啡 (Latte) 
2021-03-05 00:00:00,1401,浓缩咖啡 (Espresso) 
2021-03-05 00:00:00,192.5,混合咖啡 (Blend Coffee) 
2021-03-05 00:00:00,871.5,美式咖啡 (Americano) 
2021-03-05 00:00:00,5300.25,首选咖啡 (Preferential Coffee) 
2021-03-06 00:00:00,247,冰咖啡 (Iced Coffee) 
2021-03-06 00:00:00,932.5,单原咖啡 (Single Origin Coffee) 
2021-03-06 00:00:00,217,卡布奇诺 (Cappuccino) 
2021-03-06 00:00:00,1795.25,浓缩咖啡 (Espresso) 
2021-03-06 00:00:00,134,混合咖啡 (Blend Coffee) 
2021-03-06 00:00:00,642.25,美式咖啡 (Americano) 
2021-03-06 00:00:00,182.79999542236328,超滤咖啡 (Filtered Coffee) 
2021-03-06 00:00:00,3910.75,首选咖啡 (Preferential Coffee) 
2021-03-07 00:00:00,877.75,单原咖啡 (Single Origin Coffee) 
2021-03-07 00:00:00,198,卡布奇诺 (Cappuccino) 
2021-03-07 00:00:00,2259.75,浓缩咖啡 (Espresso) 
2021-03-07 00:00:00,284,混合咖啡 (Blend Coffee) 
2021-03-07 00:00:00,712.25,美式咖啡 (Americano) 
2021-03-07 00:00:00,5333.75,首选咖啡 (Preferential Coffee) 
2021-03-08 00:00:00,1544,单原咖啡 (Single Origin Coffee) 
2021-03-08 00:00:00,174,卡布奇诺 (Cappuccino) 
2021-03-08 00:00:00,2027,浓缩咖啡 (Espresso) 
2021-03-08 00:00:00,225.5,混合咖啡 (Blend Coffee) 
